,_id,_score,confirmed_numIncrease,date
0,USA_None_None2020-05-23,8.435856,20189,2020-05-23
1,USA_None_None2020-05-26,8.435856,18726,2020-05-26
2,USA_None_None2020-06-01,8.435856,17840,2020-06-01
3,USA_None_None2020-06-04,8.435856,27934,2020-06-04
4,USA_None_None2020-06-11,8.435856,22278,2020-06-11
5,USA_None_None2020-06-18,8.435856,28227,2020-06-18
6,USA_None_None2020-06-19,8.435856,31054,2020-06-19
7,USA_None_None2020-06-20,8.435856,31826,2020-06-20
8,USA_None_None2020-06-25,8.435856,39299,2020-06-25
9,USA_None_None2020-07-24,8.435856,75147,2020-07-24
10,USA_None_None2020-08-01,8.435856,57578,2020-08-01
11,USA_None_None2020-08-21,8.435856,47591,2020-08-21
12,USA_None_None2020-08-28,8.435856,46470,2020-08-28
13,USA_None_None2020-08-30,8.435856,34131,2020-08-30
14,USA_None_None2020-08-31,8.435856,33362,2020-08-31
15,USA_None_None2020-09-02,8.435856,39961,2020-09-02
16,USA_None_None2020-09-06,8.435856,29119,2020-09-06
17,USA_None_None2020-09-11,8.435856,44623,2020-09-11
18,USA_None_None2020-09-21,8.435856,32043,2020-09-21
19,USA_None_None2020-09-25,8.435856,47136,2020-09-25
20,USA_None_None2020-08-11,8.435856,56955,2020-08-11
21,USA_None_None2020-08-19,8.435856,45883,2020-08-19
22,USA_None_None2020-09-04,8.435856,48334,2020-09-04
23,USA_None_None2020-09-09,8.435856,33638,2020-09-09
24,USA_None_None2020-09-15,8.435856,37178,2020-09-15
25,USA_None_None2020-09-18,8.435856,50184,2020-09-18
26,USA_None_None2020-10-06,8.435856,44545,2020-10-06
27,USA_None_None2020-10-18,8.435856,52170,2020-10-18
28,USA_None_None2020-10-25,8.435856,60975,2020-10-25
29,USA_None_None2020-10-29,8.435856,91293,2020-10-29
30,USA_None_None2020-11-01,8.435856,77830,2020-11-01
31,USA_None_None2020-11-16,8.435856,153088,2020-11-16
32,USA_None_None2020-12-05,8.435856,222010,2020-12-05
33,USA_None_None2020-12-14,8.435856,209828,2020-12-14
34,USA_None_None2021-03-31,8.435856,69530,2021-03-31
35,USA_None_None2021-04-02,8.435856,74024,2021-04-02
36,USA_None_None2021-04-11,8.435856,47456,2021-04-11
37,USA_None_None2021-06-02,8.435856,16713,2021-06-02
38,USA_None_None2021-06-05,8.435856,15604,2021-06-05
39,USA_None_None2021-06-06,8.435856,6016,2021-06-06
40,USA_None_None2021-06-10,8.435856,14781,2021-06-10
41,USA_None_None2021-06-15,8.435856,10729,2021-06-15
42,USA_None_None2021-06-18,8.435856,21182,2021-06-18
43,USA_None_None2021-06-19,8.435856,9052,2021-06-19
44,USA_None_None2021-06-23,8.435856,12665,2021-06-23
45,USA_None_None2021-06-24,8.435856,14476,2021-06-24
46,USA_None_None2021-06-25,8.435856,24603,2021-06-25
47,USA_None_None2021-06-29,8.435856,7477,2021-06-29
48,USA_None_None2021-06-30,8.435856,15351,2021-06-30
49,USA_None_None2021-07-01,8.435856,15120,2021-07-01
50,USA_None_None2021-07-06,8.435856,22282,2021-07-06
51,USA_None_None2021-07-07,8.435856,20176,2021-07-07
