lineage,variant,total_count,recent_counts,est_proportion,now_proportion,now_proportion_str,growth_rate,growth_rate_str,first_date,last_date,today
JN.1.18,,46,22,0.08685953550287023,0.17176329495143924,5.4% to 42.8%,0.11574361501958966,8.0% to 15.2%,2023-10-22,2024-01-07,2024-01-28
JN.1.8.1,,18,6,0.022253561520057513,0.03803256981976858,0.5% to 24.8%,0.10879674700132065,4.8% to 17.0%,2023-10-22,2024-01-07,2024-01-28
JN.1.4,,205,66,0.2326432679237418,0.3578595215329836,18.4% to 57.9%,0.10378214895563317,8.3% to 12.4%,2023-10-22,2024-01-07,2024-01-28
BA.2,Omicron-like,1809,7,0.023217685998046352,0.03183752947122709,0.5% to 18.4%,0.09831058610636706,4.7% to 15.0%,2023-10-22,2024-01-07,2024-01-28
JN.1,,449,179,0.42695372868250653,0.36316516403708216,21.1% to 54.9%,0.0755701401199434,6.2% to 8.9%,2023-10-22,2024-01-07,2024-01-28
JN.1.32,,5,3,0.005932305587400952,0.004103405643207455,0.0% to 7.2%,0.06572358064681634,0.2% to 13.0%,2023-10-22,2024-01-07,2024-01-28
EG.5.1.8,,10,7,0.00797072739859061,0.003430700524791219,0.0% to 3.1%,0.043132360821287005,0.1% to 8.5%,2023-10-22,2024-01-07,2024-01-28
JN.1.7,,16,1,0.0007111691585035325,0.00022143771098712473,0.0% to 11.5%,0.027715327409916855,-8.4% to 14.0%,2023-10-22,2024-01-07,2024-01-28
BA.2.86,,9,3,0.001569455474729098,0.0004055687510874255,0.0% to 2.1%,0.018837964611489205,-4.8% to 8.5%,2023-10-22,2024-01-07,2024-01-28
HF.1,,36,11,0.004192878298422475,0.0009054061441919122,0.0% to 0.9%,0.010287226539777226,-2.6% to 4.7%,2023-10-22,2024-01-07,2024-01-28
XBB.1.16.11,,47,16,0.00587209817495704,0.0012420033976062838,0.0% to 0.8%,0.009300217464837732,-2.1% to 4.0%,2023-10-22,2024-01-07,2024-01-28
XBB,Omicron-like,53,5,0.0017544768890429725,0.00036214028179494507,0.0% to 1.0%,0.008137928142152731,-4.5% to 6.1%,2023-10-22,2024-01-07,2024-01-28
GK.2,,6,2,0.0006892983464735232,0.0001408930688841807,0.0% to 2.5%,0.007672280615205325,-7.6% to 9.1%,2023-10-22,2024-01-07,2024-01-28
JD.1.1,,46,33,0.008535776957110188,0.0015005750240570848,0.0% to 0.6%,0.0004939456208156567,-2.2% to 2.3%,2023-10-22,2024-01-07,2024-01-28
JG.3,,78,55,0.01327234709100789,0.0022520678407644723,0.1% to 0.7%,-0.001192524389159429,-2.0% to 1.7%,2023-10-22,2024-01-07,2024-01-28
HK.3,,102,56,0.013294519649688693,0.0022372268235577963,0.1% to 0.7%,-0.0015868553433045828,-2.0% to 1.7%,2023-10-22,2024-01-07,2024-01-28
GK.1.1,,34,12,0.0024027748431870244,0.0003714149860758198,0.0% to 0.4%,-0.005631841752038967,-4.1% to 3.0%,2023-10-22,2024-01-07,2024-01-28
EG.5.1,,638,123,0.021965539259997068,0.003210795280834401,0.1% to 0.8%,-0.00829358630976511,-2.3% to 0.6%,2023-10-22,2024-01-07,2024-01-28
FL.1.5.1,,191,39,0.006489239168766133,0.0009167695613413826,0.0% to 0.4%,-0.009916836622849803,-3.1% to 1.1%,2023-10-22,2024-01-07,2024-01-28
HK,,107,63,0.009523092663319134,0.001285280555551633,0.0% to 0.4%,-0.012092941521574814,-3.0% to 0.6%,2023-10-22,2024-01-07,2024-01-28
EG.5,,125,28,0.0038299477824367376,0.0004932087905289773,0.0% to 0.3%,-0.01432776169822803,-3.9% to 1.0%,2023-10-22,2024-01-07,2024-01-28
HV.1,,697,384,0.05080317257470033,0.006441246290841579,0.3% to 1.3%,-0.015068852479739117,-2.6% to -0.4%,2023-10-22,2024-01-07,2024-01-28
XBB.1.16,,272,29,0.0030972885536910293,0.000356027219684427,0.0% to 0.2%,-0.01973734771029843,-4.4% to 0.4%,2023-10-22,2024-01-07,2024-01-28
GE.1,,25,2,0.0002071383622087463,2.3486125621283932e-05,0.0% to 0.8%,-0.020389822892295437,-10.5% to 6.4%,2023-10-22,2024-01-07,2024-01-28
XBB.1.5,Omicron-like,1204,19,0.0015543469777170957,0.00015869380195649227,0.0% to 0.1%,-0.025383016986249427,-5.4% to 0.3%,2023-10-22,2024-01-07,2024-01-28
JF.1.1,,72,59,0.003911585212900002,0.00036468793756654256,0.0% to 0.1%,-0.02970786265661815,-4.8% to -1.1%,2023-10-22,2024-01-07,2024-01-28
XBB.1.16.6,,160,19,0.000828445938313949,6.485693437764938e-05,0.0% to 0.1%,-0.038027470938497135,-6.7% to -0.9%,2023-10-22,2024-01-07,2024-01-28
JF.1,,22,12,0.00020936428786174656,1.1469549717681958e-05,0.0% to 0.0%,-0.055028057516237246,-9.1% to -1.9%,2023-10-22,2024-01-07,2024-01-28
XBB.1.16.15,,42,7,9.306013409672748e-05,4.611550299957055e-06,0.0% to 0.0%,-0.05980433039263414,-10.6% to -1.3%,2023-10-22,2024-01-07,2024-01-28
XBB.2.3,Omicron-like,54,10,7.861047282593054e-05,3.2279135643460813e-06,0.0% to 0.0%,-0.06875610006726877,-10.9% to -2.9%,2023-10-22,2024-01-07,2024-01-28
