Geography,Zip,Total Population,Land Area in Square Miles,Population Per Square Mile (Land Area)
ZCTA5 92161,92161,0,0,0
ZCTA5 92182,92182,606,1,606
ZCTA5 92096,92096,3395,1,3395
ZCTAS 92136,92136,10699,1,10699
ZCTA5 89010 (California part only),89010,31,14.7,2
ZCTA5 89019 (California part only),89019,69,207.7,0
ZCTA5 89060 (California part only),89060,30,8.5,4
ZCTA5 89061 (California part only),89061,51,0.7,71
ZCTA5 89439 (California part only),89439,80,7.5,11
ZCTA5 90001,90001,"57,110",3.5,"16,306"
ZCTA5 90002,90002,"51,223",3.1,"16,728"
ZCTA5 90003,90003,"66,266",3.6,"18,660"
ZCTA5 90004,90004,"62,180",3,"20,400"
ZCTA5 90005,90005,"37,681",1.1,"34,761"
ZCTA5 90006,90006,"59,185",1.9,"30,829"
ZCTA5 90007,90007,"40,920",2.5,"16,593"
ZCTA5 90008,90008,"32,327",3.7,"8,801"
ZCTA5 90010,90010,"3,800",0.5,"8,309"
ZCTA5 90011,90011,"103,892",4.3,"24,240"
ZCTA5 90012,90012,"31,103",3.2,"9,618"
ZCTA5 90013,90013,"11,772",0.7,"17,546"
ZCTA5 90014,90014,"7,005",0.3,"24,737"
ZCTA5 90015,90015,"18,986",1.7,"11,100"
ZCTA5 90016,90016,"47,596",3.6,"13,123"
ZCTA5 90017,90017,"23,768",0.7,"32,725"
ZCTA5 90018,90018,"49,310",2.9,"17,028"
ZCTA5 90019,90019,"64,458",3.9,"16,578"
ZCTA5 90020,90020,"38,967",1.1,"34,475"
ZCTA5 90021,90021,"3,951",2.1,"1,908"
ZCTA5 90022,90022,"67,179",4.4,"15,334"
ZCTA5 90023,90023,"45,903",4.2,"10,866"
ZCTA5 90024,90024,"47,452",2.9,"16,154"
ZCTA5 90025,90025,"42,147",2.6,"16,402"
ZCTA5 90026,90026,"67,869",4.2,"16,063"
ZCTA5 90027,90027,"45,151",8.3,"5,464"
ZCTA5 90028,90028,"28,714",1.5,"18,838"
ZCTA5 90029,90029,"38,617",1.4,"28,359"
ZCTA5 90031,90031,"39,316",3.5,"11,383"
ZCTA5 90032,90032,"45,786",4.8,"9,604"
ZCTA5 90033,90033,"48,852",3.3,"14,954"
ZCTA5 90034,90034,"57,964",3.1,"18,621"
ZCTA5 90035,90035,"28,418",2.1,"13,808"
ZCTA5 90036,90036,"36,865",2.5,"14,922"
ZCTA5 90037,90037,"62,276",2.8,"21,941"
ZCTA5 90038,90038,"28,917",1.6,"18,460"
ZCTA5 90039,90039,"28,514",3.8,"7,563"
ZCTA5 90040,90040,"12,520",5.6,"2,243"
ZCTA5 90041,90041,"27,425",3.6,"7,595"
ZCTA5 90042,90042,"62,430",4.6,"13,444"
ZCTA5 90043,90043,"44,789",4.1,"10,836"
ZCTA5 90044,90044,"89,779",5.1,"17,478"
ZCTA5 90045,90045,"39,480",10.7,"3,681"
ZCTA5 90046,90046,"48,581",5.8,"8,405"
ZCTA5 90047,90047,"48,606",4.7,"10,275"
ZCTA5 90048,90048,"21,397",1.9,"11,350"
ZCTA5 90049,90049,"35,482",15,"2,362"
ZCTA5 90056,90056,"7,827",1.6,"4,955"
ZCTA5 90057,90057,"44,998",0.9,"50,810"
ZCTA5 90058,90058,"3,223",5.8,555
ZCTA5 90059,90059,"40,952",3.3,"12,359"
ZCTA5 90061,90061,"26,872",2.7,"10,094"
ZCTA5 90062,90062,"32,821",1.9,"16,973"
ZCTA5 90063,90063,"55,758",3.3,"17,038"
ZCTA5 90064,90064,"25,403",4,"6,350"
ZCTA5 90065,90065,"45,527",5.3,"8,625"
ZCTA5 90066,90066,"55,277",4.9,"11,231"
ZCTA5 90067,90067,"2,424",0.3,"7,387"
ZCTA5 90068,90068,"22,286",7.6,"2,925"
ZCTA5 90069,90069,"20,483",2.1,"9,688"
ZCTA5 90071,90071,15,0.1,122
ZCTA5 90073,90073,539,0.3,"1,591"
ZCTA5 90077,90077,"9,377",7.3,"1,279"
ZCTA5 90079,90079,0,0,0
ZCTA5 90089,90089,"3,217",0.3,"11,218"
ZCTA5 90090,90090,0,0.2,0
ZCTA5 90094,90094,"5,464",0.6,"8,942"
ZCTA5 90095,90095,3,0.4,8
ZCTA5 90201,90201,"101,279",5.9,"17,060"
ZCTA5 90210,90210,"21,741",10.1,"2,147"
ZCTA5 90211,90211,"8,434",0.7,"12,042"
ZCTA5 90212,90212,"11,555",1,"12,096"
ZCTA5 90220,90220,"49,328",6.9,"7,138"
ZCTA5 90221,90221,"53,704",5.3,"10,072"
ZCTA5 90222,90222,"31,869",2.6,"12,465"
ZCTA5 90230,90230,"31,766",4.5,"7,048"
ZCTA5 90232,90232,"15,149",2.1,"7,193"
ZCTA5 90240,90240,"25,876",2.9,"8,789"
ZCTA5 90241,90241,"42,399",4.9,"8,607"
